Nombre,Olimpiada,Year,Logro
Cynthia Naely López Estrada,European Girls' Mathematical Olympiad (EGMO),2021,Bronce
Nathalia del Carmen Jasso Vera,European Girls' Mathematical Olympiad (EGMO),2020,Bronce
Nathalia del Carmen Jasso Vera,European Girls' Mathematical Olympiad (EGMO),2019,Participación
David Guadalupe Torres Flores,International Mathematical Olympiad (IMO),2005,Mención Honorífica
David Guadalupe Torres Flores,Olimpiada Matemática de Centroamérica y el Caribe (OMCC),2004,Oro
David Guadalupe Torres Flores,Olimpiada Iberoamericana de Matemáticas (OIM),2005,Bronce
Alejandro Jiménez Martínez,Olimpiada Matemática de Centroamérica y el Caribe (OMCC),2007,Oro
Jesús Omar Sistos Barrón,Olimpiada Matemática de Centroamérica y el Caribe (OMCC),2017,Plata
Jesús Omar Sistos Barrón,International Mathematics Competition (IMC),2017,Plata
Jesús Omar Sistos Barrón,International Mathematics Competition (IMC),2016,Bronce
Ander Alonso Albores Ramírez,International Mathematics Competition (IMC),2024,Mención Honorífica