Nombre,Year,Logro
Julian Ferrer Ríos,2005,
Andrea Eugenia Gallegos Tirado,2005,Plata
Jose Manuel Luna Luna,2005,Bronce
Jacob Esaú Salazar Solano,2005,Plata
Paulina Salcedo Ortiz,2005,Plata
David Guadalupe Torres Flores,2005,Oro
Sandra Alfaro López,2006,Bronce
Alejandro Jiménez Martínez,2006,Plata
Alberto José Ramírez Valadez,2006,Bronce
Paulina Salcedo Ortiz,2006,Plata
Verónica Suaste Morales,2006,Bronce
Rocío Gabriela Anguiano Soria,2007,
Armando Galvan Hernánndez,2007,Plata
Luis Enrique Osorio Puentes,2007,Bronce
Alberto José Ramíırez Valadez,2007,Plata
María Teresa Rodríguez Estrada,2007,
César Ángel Jesús Guadalupe Zavala Ramírez,2007,
Joshua Ayork Acevedo Carabantes,2008,Mención Honorífica
Gabriel Gutierrez Ramírez,2008,Mención Honorífica
Mario Enrique Negrete García,2008,Mención Honorífica
Christian Ojeda Trejo,2008,Plata
Ariana Alesia Sandoval Partida,2008,Bronce
Hilda de Jesus Terrones Segura,2008,
Joshua Ayork Acevedo Carabantes,2009,Bronce
Lizda Nazdira Moncada Morales,2009,
Christian Ojeda Trejo,2009,Plata
Jonathan Peuling Prevost,2009,Mención Honorífica
Victoria de Jesus Terrones Segura,2009,Bronce
Jonatan Zepahua Jimenez,2009,
Joshua Ayork Acevedo Carabantes,2010,Plata
Ramón Ivían Garcia Alvarez,2010,Plata
Lizda Nazdira Moncada Morales,2010,Bronce
Christian Dennis Olvera Torres,2010,
Victoria de Jesus Terrones Segura,2010,Plata
Gerardo Zago Yáñez,2010,Plata
Francisco Gerardo Martínez Palacios,2011,Bronce
Ulises Perez Cendejas,2011,Bronce
Christian Dennis Olvera Torres,2011,Bronce
Ramón Ivían Garcia Alvarez,2011,Oro
Gerardo Pérez Suárez,2011,Plata
Joshua Ayork Acevedo Carabantes,2011,Plata
Joshua Ayork Acevedo Carabantes,2012,Oro
Ramón Ivían Garcia Alvarez,2012,Oro
Diego Aarón Moreno Galvan,2012,Bronce
Ulises Perez Cendejas,2012,Bronce
Emmanuel Romero Ruiz,2012,Bronce
Victoria de Jesus Terrones Segura,2012,Bronce
Israel Bonal Rodríguez,2013,Bronce
Rodolfo Emilio Montes de Oca Osornio,2013,
Diego Aarón Moreno Galván,2013,
Héctor Eduardo Parga Nájera,2013,
Ulises Pérez Cendejas,2013,Plata
Irwin Enrique Villalobos López,2013,Bronce
Israel Bonal Rodríguez,2014,Oro
Cristian Chacón Valdez,2014,Bronce
Tania Martínez Villagómez,2014,Bronce
Tulio Muñoz Magaña,2014,Plata
Héctor Eduardo Parga Nájera,2014,Bronce
Eric Zavala López,2014,
Israel Bonal Rodríguez,2015,Oro
Tulio Muñoz Magaña,2015,Plata
Héctor Eduardo Parga Nájera,2015,Plata
Jesús Omar Sistos Barrón,2015,Bronce
Irwin Enrique Villalobos López,2015,Plata
Eric Zavala López,2015,Bronce
Valentina Arévalo Arredondo,2016,Participación
Nathalia del Carmen Jasso Vera,2016,Bronce
Jesús Antonio Martínez Miranda,2016,Participación
Héctor Eduardo Parga Nájera,2016,Plata
Ernesto Antonio Reyes Ramírez,2016,Participación
Jesús Omar Sistos Barrón,2016,Plata
Josué Irad Galindo De la Serna,2017,Bronce
Isaac Pancardo Botello,2017,Bronce
Rubén Pérez Palacios,2017,
Nathalia del Carmen Jasso Vera,2017,Plata
Sebastian Sánchez Lara,2017,Plata
Jesús Omar Sistos Barrón,2017,Plata
Isaac Pancardo Botello,2018,Oro
Jesús Omar Sistos Barrón,2018,Oro
Sebastián Sánchez Lara,2018,Plata
Nathalia del Carmen Jasso Vera,2018,Bronce
Joshua Sebastián González Torres,2018,Bronce
José de Jesús Liceaga Martínez,2018,Plata
Jesús Omar Sistos Barrón,2019,Oro
José de Jesús Liceaga Martínez,2019,Plata
Isaac Pancardo Botello,2019,Plata
Nathalia del Carmen Jasso Vera,2019,Plata
Hector Fernando Ricardez Lara,2019,Plata
Joshua Sebastián Gonzalez Torres,2019,Bronce
Isaac Pancardo Botello,2020,Oro
Joshua Sebastián González Torres,2020,Plata
Juan Braulio Olivares Rodríguez,2020,Plata
Gustavo Axel Neri Mora,2020,Bronce
Itzel Cano Rivas,2020,Bronce
Saúl Iván Sámano Saucedo,2020,Bronce
Cynthia Naely López Estrada,2021,Plata
Juan Braulio Olivares Rodríguez,2021,Mención Honorífica
Itzel Cano Rivas,2021,Mención Honorífica
Juan Pablo Amezcua González,2021,Mención Honorífica
Gabriela Sarahí Martínez Rodríguez,2021,Participación
Lorena Estefany Segura Prado,2021,Participación
Juan Pablo Amezcua González,2022,Plata
Itzel Cano Rivas,2022,Participación
Said Huizar Dorantes,2022,Bronce
Luis Emilio Martínez Capetillo,2022,Bronce
Juan Braulio Olivares Rodríguez,2022,Bronce
Juan Pablo Trejo Rendón,2022,Mención Honorífica
Roberto Eugenio Esqueda Allande,2023,Bronce
Juan Pablo Trejo Rendón,2023,Bronce
Said Huizar Dorantes,2023,Bronce
David Bribiesca Valtierra,2023,Bronce
Saulo Alonso Ramos Aldaco,2023,Participación
Fernando Hernández Melo,2023,Participación